subject,body,label
Just in: Dbi Consultants has new Graphic Design Intern jobs open,,Application
"Yutong Hu, check out this job that pays $100,000/yr!",,Application
Going somewhere? Take Glassdoor with you.,,Application
Re: Availability?,,Application
RE: Digital Seal for social media,,Offer
Creative Designer at Imagine and 5 more jobs for you. Apply from Email,,Application
Start Working,,Application
"Yutong, have you seen these new Design Intern jobs?",,Application
"136+ Art Director jobs in New York, NY",,Application
Check out these new Graphic Designer jobs,,Application
YUTONG: (2) Relisted Applicants Requested,,Application
"Yutong Hu, your new job is waiting for you",,Application
Designer Q&A: Cass Floroff's quest for creative balance,,Application
Employees Needed,,Application
"Yutong, this Experiential Creative Intern position is for you",,Application
Followup on your Stride Application,,Application
FEDEX Help Requested,,Application
"Just Posted: new Graphic Design Intern jobs  in New York, NY from 52+ job boards",,Application
Re: Thank You and Some Exciting News!,,Application
Welcome! Want even more good stuff?,,Application
Availability?,,Application
New jobs similar to Junior Art Director at Saatchi & Saatchi (We Are Saatchi),,Application
"Career Brew (🎓☕) - 30th Oct Jobs Digest You can't miss - 60 Hottest Jobs, 7 Visa Sponsored Jobs, 30 Paid Internsh…",,Application
"Top internships of the week: $50/hr at Coinbase, $50/hr at Playstation, $16.5/hr at Financial Times",,Application
GRAPHIC DESIGNER opening at THE UPS STORE #1043,,Application
We received remote Graphic Design Internship jobs that you should check out,,Application
"Yutong, have you seen these new Graphic Design Intern jobs?",,Application
"We received Design Intern jobs in New York, NY that you should check out",,Application
"136+ Graphic Designer jobs in New York, NY",,Application
"Yutong, have you seen these new Art Director jobs?",,Application
"Metasys Technologies and others are hiring for Graphic Designer in and around New York, NY",,Application
Be the first to apply to UX Designer - Fully remote at Akkodis,,Application
The new toolbook for graphic designers...,,Application
Your Skills Match Our Vacancies,,Application
YUTONG: Urgent Employment,,Application
Logo and Identity Design for Yutong,,Application
Thank You and Some Exciting News!,,Application
Just in: Experian has new Graphic Design Intern jobs open,,Application
⭐ $20 OFF: This workshop 31x'ed my investment.,,Application
Just in: Solomon Page has new Graphic Design Intern jobs open,,Application
How is your career going?,,Application
New Jobs from Freelancing Females,,Application
Just in: Alexander Wang Llc has new Graphic Design Intern jobs open,,Application
Reham Ibrahim posted: 2021: No salary increase 2022: No salary increase 2023: No salary increase 2024... 💡,,Application
Daily Rundown: OpenAI's $1.5B boost;…,,Application
Time’s running out for 10% cash back at Sony ⏱️,,Application
Pass the savings: friends gets $15 off when they switch to Mint,,Application
Design for Yutong,,Application
"Junior Designer, Square Enix Manga and Books (Remote) position at Penguin Randomhouse 📢",,Application
"Just in: Creative Circle, Llc has new Graphic Design Intern jobs open",,Application
PDF of Web,,Application
You bought Lemon Typeface and NOHEMI™ Typeface,,Application
You bought Hermione - Display Font and 8 more products,,Application
You got +3 Y2K Typeface!,,Application
"New jobs similar to User Experience Designer, Google Ads, Early Career at Google",,Application
Re: Graphic Designer Application – Yutong Hu,,Application
Graphic Designer Application – Yutong Hu,,Application
Brand Design Intern - Yutong Hu,,Application
Why graphic designers can't stop joking about hating their jobs...,,Application
Welcome to Squarespace,,Offer
Reminder: Resume Webinar for Jobseekers,,Application
"Yutong, exciting new job opportunities just for you!",,Application
Re: Nice to talk at AIGA job fair and 2025 Summer Internship,,Application
“Graphic Designer”: Wiraa is hiring  for $70K-$90K / year,,Application
"Yutong, your application was sent to The Workshop LA",,Application
“Graphic Designer”: LIFT Sports Management - Graphic Designer and more,,Application
"Yutong, your application was sent to Project 3 Agency",,Application
"Yutong, see who else is applying for Designer - Digital Ads",,Application
Your application was viewed by CourtsApp,,Application
“Graphic Designer”: BoF Careers is hiring,,Application
Your application to Mid Weight Designer at Total Management Group,,Application
“Junior Designer”: Creative Circle is hiring  for $25-$30 / hour,,Application
Re: Freelance Graphic Designer Opportunity,,Application
"Yutong, don’t forget to complete your application to STIIIZY",,Application
Your application was viewed by Sense of Agency,,Application
"Yutong, your application was sent to Alexis Bittar",,Application
"Yutong, your application was sent to Veronica Beard",,Application
"Yutong, your application was sent to ASSOULINE",,Application
"Yutong, your application was sent to Citizen Watch America",,Application
“graphic designer”: Fried Frank - Junior Graphic Designer and more,,Application
“Graphic Designer”: Lensa - Jr. Designer and more,,Application
“Junior Graphic Designer”: Fried Frank - Junior Graphic Designer and more,,Application
“Junior Graphic Designer”: Fried Frank - Junior Graphic Designer,,Application
“Graphic Designer”: Lensa - Production Designer (Remote) and more,,Application
“Junior Designer”: Fried Frank - Junior Graphic Designer and more,,Application
“Graphic Designer”: Wiraa - Web & Graphic Designer and more,,Application
"“Digital Designer”: CLEO AI LTD. - Digital Designer, Email & Landing Pages and more",,Application
“Digital Designer”: KHAITE - Digital Designer and more,,Application
“Graphic Designer”: Wiraa - Graphic Designer and more,,Application
“Freelance Graphic Designer”: Sipwell - Freelance Graphic Designer and more,,Application
Your application to Associate Brand Designer at Creative Circle,,Application
"July 24, 2025",,Application
“Brand Designer”: Mondo - Senior Brand Designer and more,,Application
Made for Sundays: The Craft and Comfort Behind Desmond & Dempsey,,Application
"Yutong, your application was sent to CourtsApp",,Application
"Yutong, your application was sent to The Vyater Group",,Application
"Yutong, your application was sent to Adecco",,Application
"Yutong, your application was sent to Cypress HCM",,Application
"Yutong, your application was sent to STAUD",,Application
“Junior Designer”: automotiveMastermind Inc - Junior Marketing Designer and more,,Application
“Graphic Designer”: Wiraa - Graphic Designer (Analyst) and more,,Application
“Freelance Graphic Designer”: Twine - Freelance Graphic Designer and more,,Application
“graphic designer”: Lensa - Jr. Designer and more,,Application
"Yutong, your application was sent to ECLARO",,Application
Your application was viewed by NIC NAC NATURALS,,Application
Job Opportunity: Event Marketing Manager,,Application
Thank you for applying to Ripple's Summer Internship,,Application
Re: Recent Design and Advertising Grads! Summer Fellowship Elmwood NY,,Application
New jobs similar to Designer at M Booth,,Application
$20 and under Valentine's gifts they'll love,,Application
Yutong - Junior Graphic Designer - Application Follow-up,,Application
"G-Iii Apparel Group has Design Intern jobs in New York, NY that you should check out",,Application
Braintrust is hiring: Immediate Need: Graphic Designer - Actively recruiting,,Application
Your Application With Brooklyn Brewery,,Application
Your new recommendations await,,Application
"Yutong, don't miss these new Design Intern jobs",,Application
Regarding your application at Blank Street Coffee,,Application
Re: [Young Ones | Next Up] Connecting Mentors and Young Creatives!,,Application
"Brooksource has Design Intern jobs in New York, NY that you should check out",,Application
Brand Designer role at Optimism Foundation and other opportunities open,,Application
Re: FW: Yutong Hu submitted availability for Designer,,Application
RE: FW: Yutong Hu submitted availability for Designer,,Application
FW: Yutong Hu submitted availability for Designer,,Application
M Booth Interview Availability,,Application
Nick Cuda posted: They say that the best way to increase your salary is to change jobs. This migh... 💡,,Application
Crack the salary code,,Application
"Yutong, as a Chase customer, we’re pleased to offer up to $700 and easy investing",,Application
"Yutong, earn 60,000 bonus points with Chase Sapphire Preferred.",,Application
“Junior Graphic Designer”: Outcompete Marketing - Junior Graphic Designer,,Application
Martie Junior Designer,,Application
“Brand Designer”: TieTalent - Brand Designer and more,,Application
"Yutong, apply now to ‘Mid Weight Designer at Tomorrow Recruitment Ltd | B Corp™’",,Application
“Junior Graphic Designer”: EVPassport - Junior Copywriting and Graphic Designer,,Application
“Junior Graphic Designer”: EVPassport - Junior Copywriting and Graphic Designer and more,,Application
“Graphic Designer”: Lensa - Creative Designer and more,,Application
“Graphic Designer”: Lensa - Junior Designer and more,,Application
“graphic designer”: LOFT - Graphic Designer and more,,Application
“Digital Designer”: Wpromote - Digital & Motion Designer,,Application
“Design Associate”: Campus - Experience & Communications Design Associate and more,,Application
CyberCoders is Hiring,,Application
"Yutong, your application was sent to Hive Studios",,Application
RE: Design Intern (Fall) Application,,Application
Your application to Art Director / Designer at Creative Circle,,Application
“Freelance Graphic Designer”: Solomon Page Group LLC - Freelance Graphic / Presentation Designer and more,,Application
“Brand Designer”: Norm Ai - Senior Brand Designer,,Application
Re: ZELIG | Junior Graphic Designer,,Application
"Prime Day is coming soon, but savings start early",,Application
“Digital Designer”: Wpromote - Digital & Motion Designer and more,,Application
"Your application to Brand Designer, Print (Harry's) at Mammoth Brands",,Application
10 friends. Up to $100 cash back.,,Application
“Digital Designer”: Verneek - Digital Marketing Designer and more,,Application
“Junior Graphic Designer”: Utah Hockey Club - Junior Graphic Designer,,Application
“graphic design intern”: Lensa - Fall 2025 Graphic Design/Creative Undergraduate Internship and more,,Application
“graphic designer”: Wiraa - Graphic Designer and more,,Application
Your application to Creative Design Assistant at Tauger Corp,,Application
Thank you for applying to  Junior Art Director,,Application
“Graphic Designer”: Grey Group - Junior Art Director and more,,Application
“Brand Designer”: Red Antler - Freelance Senior Brand Designer,,Application
"Yutong, don’t forget to complete your application to Whitney Museum of American Art",,Application
ApplyIQ: A smarter way to get hired,,Application
“Junior Designer”: Tata Consultancy Services Limited - Junior Product Designer,,Application
“Graphic Designer”: Wiraa - Graphic Designer (Digital) and more,,Application
“Junior Designer”: HUB International - Temporary Junior Production Designer and more,,Application
“Graphic Designer”: Lensa - Visual Designer - Remote and more,,Application
“Graphic Designer”: ClickHouse - Brand Designer and more,,Application
"Your recently clicked jobs, Don't forget to apply!",,Application
“Graphic Design Intern”: Lensa - Fall 2025 Graphic Design/Creative Undergraduate Internship and more,,Application
“graphic design intern”: Lensa - NYSA Graphic Design Intern (Unpaid) and more,,Application
"Yutong, your application was sent to Insight Global",,Application
Re: Quick Catch-Up From Yutong,,Application
Re: Interest in Designer Role,,Application
“Junior Designer”: Lensa - Junior Designer and more,,Application
Your application to Print Designer at Mondo,,Application
“Junior Graphic Designer”: Creative Circle - Junior Graphic Designer,,Application
“Graphic Designer”: The McBride Company - Graphic / Brand Designer and more,,Application
“Brand Designer”: Madhive - Brand Designer and more,,Application
"Yutong, your job’s expiring on Jun 6: Visual Designer (NYC) at Bask Health",,Application
“Junior Graphic Designer”: Lensa - Freelance Junior Graphic Designer - Production - Hybrid NYC,,Application
"Yutong, your application was sent to Synergy Interactive",,Application
EEO Self-Identification Form,,Application
"Yutong, your application was sent to Axelon Services Corporation",,Application
"Yutong, your application was sent to Dexian",,Application
"Yutong, your application was sent to Umbrella Los Angeles",,Application
"Yutong, your application was sent to United Legwear & Apparel Co.",,Application
"YUTONG, we got your application!",,Application
“Freelance Graphic Designer”: Lensa - Freelance Junior Graphic Designer - Production - Hybrid NYC and more,,Application
"Yutong, your application was sent to Designalytics",,Application
Your application was viewed by Klein Designs,,Application
"Yutong, your application was sent to Bathing Brands",,Application
"Yutong, your application was sent to HYBE America",,Application
"Yutong, your application was sent to Stacked",,Application
Re: Aura Interview Availability,,Application
Re: Graphic Design Intern - Yutong Hu,,Application
"EEO survey for Design Intern, Marketplace Partnership, at Front Row",,Application
“Digital Designer”: Jobgether - Digital & Motion Designer (Remote - US),,Application
Re: Regarding your application to MATTE PROJECTS,,Application
Thanks for applying to Front Row,,Application
"Yutong, your application was sent to Klein Designs",,Application
"Yutong, your application was sent to Front Row",,Application
"Thanks for your interest in Snif, Yutong",,Application
“Design Associate”: Solomon Page Group LLC - Marketing Design Associate and more,,Application
Logo Design Quote for Fiscal.ai - Yutong Hu,,Application
"Yutong, your application was sent to InRhythm",,Application
Yutong Hu // Designer - DB Careers,,Application
"Yutong, your application was sent to Buckeye Global",,Application
"Yutong, your application was sent to McKinley Marketing Partners",,Application
"Yutong, your application was sent to ALIGNE",,Application
Double click: Does efficiency kill love?,,Application
"Yutong, don’t forget to complete your application to Wilson Language Training",,Application
Your application was viewed by J-IMPACT Graphic Design Internship (Paid),,Application
"Yutong, your application was sent to Catapult Solutions Group",,Application
“Junior Graphic Designer”: Whop - Junior Graphic & Web Designer and more,,Application
Sports & Entertainment Jobs for You: BESTofLEGACY.com + 4 More,,Application
"Jobs report: design intern, fall, design internship ... in Manhattan, NY,...",,Application
Thank you for applying to Monks,,Application
Re: Intro to Citrine + Project Needs,,Application
Sports & Entertainment Jobs for You: BSE Global + 9 More,,Application
"Designer / Creative Technologist at Rowan Technology in New York, NY and 1 more new jobs",,Application
MAS is hiring a Graphic Designer (Freelance),,Application
Senior Packaging Designer @ Jem Accessories,,Application
"ASSISTANT/ASSOCIATE DESIGNER at ZG APPAREL GROUP in New York, NY and 5 more new jobs",,Application
Sports & Entertainment Jobs for You: New York City FC + 9 More,,Application
Regarding your application to BaubleBar,,Application
"NYCFC, Los Angeles Rams, & More - Open Entry, Intern, and Part Time Positions!",,Application
Be first to hear about new openings,,Application
Thank you for applying to Kettle,,Application
Re: ✨Design Internship✨ – Yutong Hu,,Application
We Got It: Thanks for applying for Brand Designer,,Application
Get More Interviews: 4 Ways to Improve Your Resume Today 📈,,Application
"Graphic Designer at Confidential in New York, NY and 1 more new jobs",,Application
“Junior Graphic Designer”: Grow Your Business - Junior Graphic Designer Internship,,Application
“Brand Designer”: Cribl Inc - Brand Designer and more,,Application
"Yutong, your application was sent to Graphic Design Studio",,Application
"Yutong, apply now to ‘Graphics - Design Specialist at HOK’",,Application
Re: Checking In,,Application
Your application was viewed by Aimee Kestenberg,,Application
"Yutong, you have new application updates this week",,Application
Tools That Make Your Portfolio Look Like You Know What You’re Doing 👀,,Application
Your application to Jr. Designer at Common Good Agency,,Application
"Yutong, your application was sent to Kenneth Cole Productions",,Application
"Yutong, your application was sent to Martie",,Application
"Yutong, your application was sent to Crispin",,Application
"Yutong, your application was sent to GREY MATTER CONCEPTS",,Application
"Yutong, your application was sent to Aimee Kestenberg",,Application
Re: Reside New York Rerentals Application Re: Request for Application Form – Landon (520 W 43rd Street),,Application
"Skill share: On craft, handoff, writing, and more",,Application
Re: Junior Designer - Yutong Hu,,Application
Application Request – Ebenezer Plaza Phase 1 South,,Application
Request for Application Form – Landon (520 W 43rd Street),,Application
"Your Job Agent Matches for Tuesday, April 29, 2025",,Application
"“Graphic Designer”: Golden Circle Group, LLC. - Graphic Designer - Apparel and more",,Application
Graphic Design Internship Application – Yutong Hu,,Application
Re: Application for Graphic Design Support,,Application
Application for Graphic Design Support,,Application
Meeting Summary for Confirmed: Yutong x Esther & Brian || Intro,,Application
Re: FW: ECO TLP: Media Coverage Q1 2025,,Application
